Custodian code,Custodian name,True Negative,Notes
1,Far North District Council,TRUE,"No dataset, relies on LINZ titles/protected areas."
1,Northland Regional Council,FALSE,""
2/76,Auckland Council,FALSE,""
2,Whangarei District Council,FALSE,""
3,Kaipara District Council,FALSE,""
3,Waikato Regional Council,FALSE,""
4,Bay of Plenty Regional Council,FALSE,""
6,Hawke's Bay Regional Council,FALSE,""
7,Taranaki Regional Council,TRUE,"Does not believe it has other matching information beyond uncertain regional parks."
8,Manawatū-Whanganui Regional Council,FALSE,""
9,Greater Wellington Regional Council,FALSE,""
11,Thames-Coromandel District Council,FALSE,""
12,Hauraki District Council,FALSE,""
12,West Coast Regional Council,FALSE,""
13,Canterbury Regional Council,FALSE,""
13,Waikato District Council,FALSE,""
14,Otago Regional Council,TRUE,"Said DOC/LINZ covers what they can think of, no further matching dataset administered."
15,Matamata-Piako District Council,FALSE,""
15,Southland Regional Council,FALSE,""
16,Hamilton City Council,FALSE,""
16,Tasman District Council,FALSE,""
17,Waipa District Council,FALSE,""
18,Marlborough District Council,FALSE,""
18,Ōtorohanga District Council,TRUE,"Data described as derived from LINZ."
19,South Waikato District Council,FALSE,""
20,Waitomo District Council,TRUE,"No protected-areas dataset as such, reserves based on LINZ/gazette info."
21,Taupō District Council,FALSE,""
22,Western Bay of Plenty District Council,FALSE,""
23,Tauranga City Council,FALSE,""
24,Rotorua Lakes Council,FALSE,""
25,Whakatāne District Council,FALSE,""
26,Kawerau District Council,FALSE,""
27,Ōpōtiki District Council,TRUE,"Said council does not keep this record, points to Bay of Plenty Regional Council."
04/28,Gisborne District Council,FALSE,""
29,Wairoa District Council,FALSE,""
30,Hastings District Council,FALSE,""
31,Napier City Council,FALSE,""
32,Central Hawke's Bay District Council,FALSE,""
33,New Plymouth District Council,FALSE,""
34,Stratford District Council,FALSE,""
35,South Taranaki District Council,TRUE,"No datasets beyond publicly available sources such as LINZ Protected Areas."
36,Ruapehu District Council,FALSE,""
37,Whanganui District Council,FALSE,""
38,Rangitīkei District Council,FALSE,""
39,Manawatū District Council,FALSE,""
40,Palmerston North City Council,FALSE,""
41,Tararua District Council,FALSE,""
42,Horowhenua District Council,FALSE,""
43,Kāpiti Coast District Council,FALSE,""
45,Upper Hutt City Council,FALSE,""
46,Hutt City Council,FALSE,""
47,Wellington City Council,FALSE,""
48,Masterton District Council,FALSE,""
49,Carterton District Council,FALSE,""
50,South Wairarapa District Council,FALSE,""
52,Nelson City Council,FALSE,""
54,Kaikōura District Council,FALSE,""
55,Buller District Council,FALSE,""
56,Grey District Council,FALSE,""
57,Westland District Council,FALSE,""
58,Hurunui District Council,FALSE,""
59,Waimakariri District Council,FALSE,""
60,Christchurch City Council,FALSE,""
62,Selwyn District Council,FALSE,""
63,Ashburton District Council,FALSE,""
64,Timaru District Council,FALSE,""
65,Mackenzie District Council,FALSE,""
66,Waimate District Council,FALSE,""
67,Chatham Islands Council,TRUE,"No spatial dataset information."
68,Waitaki District Council,FALSE,""
69,Central Otago District Council,FALSE,""
70,Queenstown-Lakes District Council,FALSE,""
71,Dunedin City Council,FALSE,""
72,Clutha District Council,FALSE,""
73,Southland District Council,FALSE,""
74,Gore District Council,TRUE,"Does not think they have anything beyond LINZ Protected Areas."
75,Invercargill City Council,TRUE,"No additional fitting datasets, LINZ seen as authoritative source."